custno,xcoord,ycoord,edgeid,qty,volume,weight,sos,frequency,BEF_MON,BEF_TUE,BEF_WED,BEF_THU,BEF_FRI,BEF_SAT,BEF_SUN,dowcd,dowlockcd,wccd_flag,material_typ,clusterid
4505663,-86.036932,39.924514,1296397672,3,24.0,1272.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0
4505664,-86.014173,39.928261,1220146376,1,8.0,424.0,1,2,1,0,0,0,1,0,0,A,0,0,1,0
4505665,-86.035956,39.921509,1279101440,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0
4505666,-86.09633,39.905991,1278993134,1,8.0,424.0,2,2,1,0,0,1,0,0,0,A,0,0,1,0
4505667,-86.070027,39.910697,19500727,1,8.0,424.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0
4505668,-86.070027,39.910697,19500727,2,16.0,848.0,2,1,0,0,0,0,1,0,0,A,0,0,1,0
4505681,-85.999664,40.046951,711566931,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0
4505682,-86.052409,40.064559,1278610220,1,6.0,318.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0
4505683,-86.078815,40.04395,1067566757,1,6.0,318.0,1,4,1,0,1,1,1,0,0,A,0,0,1,0
4505684,-86.008012,39.974034,1297369619,1,8.0,424.0,1,5,1,1,1,1,1,0,0,A,0,0,1,0
4505685,-86.010862,39.961857,1291642763,1,4.0,212.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0
4505686,-86.043557,39.956057,1278267732,1,6.0,318.0,2,2,1,0,0,1,0,0,0,A,0,0,1,0
4505687,-86.009347,39.928224,1278242152,1,4.0,212.0,2,2,1,0,0,1,0,0,0,A,0,0,1,0
4505688,-86.015035,39.950507,1297387166,1,8.0,424.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0
4505704,-86.001328,40.039828,1278371641,1,8.0,424.0,1,3,1,0,1,1,0,0,0,A,0,0,1,0
4505705,-86.016962,40.060973,1220032724,1,8.0,424.0,1,2,1,0,0,0,1,0,0,A,0,0,1,0
4505706,-86.117415,40.041508,711190803,1,6.0,318.0,2,2,1,0,0,1,0,0,0,A,0,0,1,0
4505707,-86.002646,39.98405,1278267043,1,8.0,424.0,1,2,1,0,0,0,1,0,0,A,0,0,1,0
4505708,-86.113812,40.00198,1278186084,1,3.0,159.0,1,4,1,0,1,1,1,0,0,A,0,0,1,0
4505709,-86.024634,39.928703,1241330704,1,10.0,530.0,1,3,1,0,1,0,1,0,0,A,1,0,1,0
4505710,-86.012394,39.927985,1197912820,1,8.0,424.0,2,2,1,0,0,1,0,0,0,A,0,0,1,0
4505711,-86.013087,39.958746,1278252778,2,20.0,1060.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0
